Timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Magnet X,Magnet Y,Magnet Z
2024-07-04 01:39:17,5.82421875,1.83984375,7.73828125,-0.00390625,0.0,-0.041015625,-17.75,27.75,-28.5625
2024-07-04 01:39:18,5.859375,1.83984375,7.6953125,0.0,0.005859375,-0.0234375,-19.25,27.375,-30.5625
2024-07-04 01:39:19,5.859375,1.83984375,7.6953125,-0.00390625,0.001953125,0.01171875,-19.25,27.0625,-30.1875
2024-07-04 01:39:20,5.8984375,1.83984375,7.6953125,0.0,-0.001953125,0.001953125,-19.25,26.6875,-29.0
2024-07-04 01:39:21,5.9375,1.80078125,7.73828125,0.00390625,-0.00390625,-0.00390625,-18.875,27.75,-29.8125
2024-07-04 01:39:22,5.8984375,1.83984375,7.6953125,0.0,0.00390625,-0.005859375,-18.875,26.6875,-31.8125
2024-07-04 01:39:23,5.8984375,1.83984375,7.6953125,0.0,0.0,0.0,-19.25,26.3125,-29.8125
2024-07-04 01:39:24,5.8984375,1.83984375,7.6953125,0.0,0.0,0.0,-18.5,26.6875,-30.625
2024-07-04 01:39:25,5.8984375,1.83984375,7.73828125,0.0,0.0,0.0,-19.625,27.0625,-30.625
2024-07-04 01:39:26,5.8984375,1.83984375,7.6953125,0.0,0.0,0.0,-18.875,28.875,-31.4375
2024-07-04 01:39:27,5.8984375,1.83984375,7.6953125,0.0,0.0,0.0,-18.875,27.0625,-29.8125
2024-07-04 01:39:28,5.8984375,1.83984375,7.73828125,0.0,-0.001953125,0.01171875,-19.25,27.0625,-29.8125
2024-07-04 01:39:29,5.8984375,1.83984375,7.6953125,0.009765625,-0.001953125,-0.021484375,-18.875,27.0625,-30.1875
2024-07-04 01:39:30,5.9375,1.83984375,7.69921875,-0.0078125,0.00390625,-0.009765625,-18.5,28.5,-27.0
2024-07-04 01:39:31,5.8984375,1.83984375,7.6953125,0.00390625,0.0,0.00390625,-19.25,27.4375,-30.625
2024-07-04 01:39:32,5.8984375,1.83984375,7.6953125,-0.013671875,-0.00390625,0.001953125,-18.875,27.75,-31.0
2024-07-04 01:39:33,5.8984375,1.83984375,7.6953125,0.0,0.0,0.0,-20.375,28.5,-29.8125
2024-07-04 01:39:34,5.8984375,1.83984375,7.6953125,-0.01171875,0.00390625,0.001953125,-18.5,27.75,-30.1875
2024-07-04 01:39:35,5.8984375,1.83984375,7.6953125,0.00390625,0.0,-0.005859375,-18.5,26.6875,-30.625
2024-07-04 01:39:36,6.20703125,3.21875,8.0390625,0.232421875,-1.201171875,2.953125,-18.5,23.3125,-34.25
2024-07-04 01:39:37,6.93359375,4.3671875,-2.3359375,-1.056640625,0.359375,0.583984375,-54.5,-21.5,16.9375
2024-07-04 01:39:38,6.546875,5.40234375,-3.67578125,-0.05078125,-0.31640625,-0.515625,-54.875,-23.6875,15.3125
2024-07-04 01:39:39,0.765625,11.33984375,0.0390625,3.03125,2.13671875,-0.48046875,-64.5,-7.75,16.125
2024-07-04 01:39:40,23.71484375,-19.4609375,-7.203125,-5.08984375,-3.24609375,-2.0625,-65.25,-7.375,19.3125
2024-07-04 01:39:41,12.2578125,-17.77734375,-2.22265625,-1.859375,0.931640625,0.619140625,-65.25,-3.6875,14.875
2024-07-04 01:39:42,11.03125,3.06640625,-0.7265625,0.060546875,0.052734375,1.388671875,-66.3125,-5.5,14.875
2024-07-04 01:39:43,1.9140625,21.26171875,2.60546875,4.7421875,0.787109375,-0.009765625,-66.6875,-2.1875,11.25
2024-07-04 01:39:44,16.28125,-2.3359375,-2.91015625,-4.1640625,-2.033203125,-0.423828125,-67.0625,-3.3125,16.0625
2024-07-04 01:39:45,14.6328125,-7.39453125,-9.34765625,3.638671875,0.55078125,-0.189453125,-68.1875,-2.9375,20.9375
2024-07-04 01:39:46,13.1015625,10.6484375,-4.86328125,-0.703125,0.4375,0.404296875,-67.0625,-1.0625,29.8125
2024-07-04 01:39:47,15.44140625,-7.9296875,-8.16015625,-3.697265625,-0.875,-1.09765625,-67.4375,-1.4375,27.375
2024-07-04 01:39:48,7.9296875,2.94921875,-4.2890625,-0.96875,0.123046875,0.1484375,-67.0625,0.0,27.75
2024-07-04 01:39:50,2.3359375,9.92578125,-1.37890625,-2.396484375,-0.470703125,1.103515625,-66.6875,-1.8125,30.625
2024-07-04 01:39:51,8.77734375,4.328125,-5.59375,-1.505859375,0.08984375,0.818359375,-53.0,-9.625,50.375
2024-07-04 01:39:52,9.08203125,2.87109375,-6.2421875,1.826171875,0.884765625,0.453125,-67.4375,-0.3125,33.4375
2024-07-04 01:39:53,7.46875,-3.2578125,-9.00390625,0.1875,-0.615234375,-0.337890625,-60.0,8.875,50.3125
2024-07-04 01:39:54,1.609375,9.34375,-3.67578125,10.21484375,0.03515625,3.865234375,-58.1875,-13.3125,34.625
2024-07-04 01:39:55,6.359375,-14.75,-1.76171875,7.359375,1.154296875,2.27734375,-65.25,8.5,43.0625
2024-07-04 01:39:56,3.5234375,8.0078125,0.7265625,-9.0859375,-0.82421875,-3.03125,-63.75,-3.3125,37.4375
2024-07-04 01:39:57,2.94921875,20.91796875,3.02734375,4.04296875,2.798828125,1.935546875,-59.3125,-15.1875,31.375
2024-07-04 01:39:58,5.9375,7.4296875,-2.10546875,5.369140625,1.962890625,2.955078125,-62.25,-8.125,35.8125
2024-07-04 01:39:59,11.76171875,-12.02734375,-11.22265625,3.298828125,1.78515625,1.58984375,-65.1875,-0.6875,37.0
